case_id,score,fail_count,loop_controls,near_miss_controls,seed,episode,image_index,distance_bucket,initial_patch,goal_patch,run_progress,proposed_path_len,proposed_regress_steps,proposed_revisit_count,proposed_total_reward,control_mean_final_dist,control_max_revisit,control_max_regress,external_only_success,external_only_final_dist,external_only_path_len,external_only_progress_steps,external_only_regress_steps,external_only_revisit_count,external_only_total_reward,intrinsic_only_success,intrinsic_only_final_dist,intrinsic_only_path_len,intrinsic_only_progress_steps,intrinsic_only_regress_steps,intrinsic_only_revisit_count,intrinsic_only_total_reward,mixed_no_gate_no_pbrs_success,mixed_no_gate_no_pbrs_final_dist,mixed_no_gate_no_pbrs_path_len,mixed_no_gate_no_pbrs_progress_steps,mixed_no_gate_no_pbrs_regress_steps,mixed_no_gate_no_pbrs_revisit_count,mixed_no_gate_no_pbrs_total_reward,mixed_gate_only_success,mixed_gate_only_final_dist,mixed_gate_only_path_len,mixed_gate_only_progress_steps,mixed_gate_only_regress_steps,mixed_gate_only_revisit_count,mixed_gate_only_total_reward,mixed_pbrs_only_success,mixed_pbrs_only_final_dist,mixed_pbrs_only_path_len,mixed_pbrs_only_progress_steps,mixed_pbrs_only_regress_steps,mixed_pbrs_only_revisit_count,mixed_pbrs_only_total_reward,proposed_linear_gate_pbrs_success,proposed_linear_gate_pbrs_final_dist,proposed_linear_gate_pbrs_path_len,proposed_linear_gate_pbrs_progress_steps,proposed_linear_gate_pbrs_regress_steps,proposed_linear_gate_pbrs_revisit_count,proposed_linear_gate_pbrs_total_reward,image_asset_available,dataset,image_id,image_path,image_white_ratio,image_max_patch_white_ratio,image_mean_patch_white_ratio,image_texture_std,dist_num,quality_adjusted_score,figure_path
case_01,89.03999999999999,5,5,0,123,280,3,C6,10,4,0.6201520833333334,6,0,1,3.848759819269179,4.2,7.0,5.0,0,3,9,6,3,0,-5.0,0,7,9,4,5,7,5.763222157955168,0,3,9,6,3,0,0.3632171750068644,0,3,9,6,3,0,-0.8710927666723745,0,5,9,5,4,1,-3.874933290004732,1,0,6,6,0,1,3.848759819269179,True,MASA,23729050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729050_15.tiff,0.00023333333333333333,0.0022222222222222222,0.00023333333333333333,41.78051892159278,6,88.98333333333333,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_01_seed123_ep280_img3_C6_s10_g4.png
case_02,87.03999999999999,5,3,0,123,110,15,C7,23,0,0.2469916666666666,7,0,1,5.151656076848506,4.2,7.0,4.0,0,5,8,5,3,4,-8.0,0,3,8,6,2,4,5.314464330673216,0,3,8,6,2,0,2.542613685131071,0,7,8,4,4,7,-3.501542925834657,0,3,8,6,2,1,-0.9360686998367328,1,0,7,7,0,1,5.151656076848506,True,MASA,23879035_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879035_15.tiff,0.0002888888888888889,0.003611111111111111,0.0002888888888888889,43.94926219533445,7,86.95694444444445,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_02_seed123_ep110_img15_C7_s23_g0.png
case_03,86.28,5,4,0,321,150,13,C6,15,3,0.3368125,6,0,1,3.2640403232971824,4.4,7.0,4.0,0,6,8,4,4,7,-8.0,0,6,8,4,4,6,3.5560453534126264,0,4,8,5,3,0,1.659239470958708,0,4,8,5,3,0,0.3755063570042438,0,2,8,6,2,2,2.27417894220352,1,0,6,6,0,1,3.2640403232971824,True,MASA,22828945_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22828945_15.tiff,0.0,0.0,0.0,33.040234472885345,6,86.28,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_03_seed321_ep150_img13_C6_s15_g3.png
case_04,86.28,5,2,0,123,120,5,C8,4,20,0.2690541666666666,8,0,1,1.7000943490937344,4.4,6.0,3.0,0,6,8,5,3,5,-8.0,0,6,8,5,3,6,3.1357750892639142,0,4,8,6,2,2,-1.864456534385683,0,2,8,7,1,0,1.0289176556467994,0,4,8,6,2,2,-1.918805354595186,1,0,8,8,0,1,1.7000943490937344,True,MASA,23729080_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729080_15.tiff,6.666666666666667e-05,0.0008333333333333334,6.666666666666667e-05,33.71020601299033,8,86.26083333333334,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_04_seed123_ep120_img5_C8_s4_g20.png
case_05,86.08,5,4,1,42,345,16,C6,1,23,0.7622895833333333,6,0,1,5.569488469213247,3.4,7.0,4.0,0,5,9,5,4,0,-3.0,0,5,9,5,4,7,3.5315399169921857,0,3,9,6,3,1,-1.5465813279151936,0,3,9,6,3,0,1.008767829239367,0,1,9,7,2,2,2.8163461294174184,1,0,6,6,0,1,5.569488469213247,True,MASA,23879050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879050_15.tiff,0.0007666666666666667,0.018333333333333333,0.0007666666666666666,36.216450347127086,6,85.72833333333332,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_05_seed42_ep345_img16_C6_s1_g23.png
case_06,85.56,5,4,1,123,120,14,C6,22,4,0.2691604166666667,6,0,1,3.919102589239676,3.8,6.0,4.0,0,5,9,5,4,4,-7.0,0,3,9,6,3,5,6.151202499866484,0,1,9,7,2,1,1.603392243385313,0,5,9,5,4,6,-2.6973015125592568,0,5,9,5,4,0,1.4274323019981363,1,0,6,6,0,1,3.919102589239676,True,MASA,23879020_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879020_15.tiff,3.3333333333333335e-05,0.0008333333333333334,3.3333333333333335e-05,44.616353129331145,6,85.54416666666667,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_06_seed123_ep120_img14_C6_s22_g4.png
case_07,85.12,5,1,3,123,90,15,C8,0,24,0.2023791666666666,8,0,1,2.258417347975074,2.6,5.0,4.0,0,1,9,8,1,0,-5.0,0,7,9,5,4,5,5.189462780952452,0,3,9,7,2,1,3.0948159098625165,0,1,9,8,1,0,-1.0755223521217716,0,1,9,8,1,1,0.0197679781913737,1,0,8,8,0,1,2.258417347975074,True,MASA,23879035_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879035_15.tiff,0.0002888888888888889,0.003611111111111111,0.0002888888888888889,43.94926219533445,8,85.03694444444446,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_07_seed123_ep90_img15_C8_s0_g24.png
case_08,84.32,5,1,0,123,55,6,C8,4,20,0.1248083333333333,8,0,1,3.340885206654667,3.6,6.0,4.0,0,4,8,6,2,2,-8.0,0,8,8,4,4,6,2.4053264260292035,0,2,8,7,1,0,1.040783464908598,0,2,8,7,1,1,0.168193600438534,0,2,8,7,1,1,-2.70837138605118,1,0,8,8,0,1,3.340885206654667,True,MASA,23729095_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729095_15.tiff,3.3333333333333335e-05,0.0008333333333333334,3.3333333333333335e-05,34.40977889470552,8,84.30416666666666,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_08_seed123_ep55_img6_C8_s4_g20.png
case_09,84.03999999999999,5,3,0,123,220,3,C7,15,4,0.4880916666666666,7,0,1,4.845456415951251,4.2,5.0,3.0,0,3,8,6,2,2,-4.0,0,5,8,5,3,5,4.403467535972593,0,3,8,6,2,0,2.762534260749815,0,5,8,5,3,0,-0.6972542616724983,0,5,8,5,3,3,-3.6579226875305193,1,0,7,7,0,1,4.845456415951251,True,MASA,23729050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729050_15.tiff,0.00023333333333333333,0.0022222222222222222,0.00023333333333333333,41.78051892159278,7,83.98333333333333,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_09_seed123_ep220_img3_C7_s15_g4.png
case_10,83.64,5,1,3,123,250,3,C8,4,20,0.5546791666666666,8,0,1,2.4985677361190306,2.2,5.0,3.0,0,1,9,8,1,1,-5.0,0,5,9,6,3,5,6.27518582344055,0,1,9,8,1,2,2.7913483977317792,0,1,9,8,1,0,-1.4229694913327706,0,3,9,7,2,0,3.017932064056395,1,0,8,8,0,1,2.4985677361190306,True,MASA,23729050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729050_15.tiff,0.00023333333333333333,0.0022222222222222222,0.00023333333333333333,41.78051892159278,8,83.58333333333334,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_10_seed123_ep250_img3_C8_s4_g20.png
